Date,Close,Volume
2020-02-26,6.2,216674
2020-02-25,6.22,291786
2020-02-24,6.37,203177
2020-02-21,6.48,221038
2020-02-20,6.54,224212
2020-02-19,6.29,165376
2020-02-18,6.21,128339
2020-02-17,6.28,213127
2020-02-14,6.07,95008
2020-02-13,6.05,158405
2020-02-12,6.11,126917
2020-02-11,6.07,150416
2020-02-10,6.04,114775
2020-02-07,6.06,145446
2020-02-06,6.09,201202
2020-02-05,5.92,240113
2020-02-04,5.85,249309
2020-02-03,5.83,164469
2020-01-23,6.48,154164
2020-01-22,6.76,86170
2020-01-21,6.82,97526
2020-01-20,6.84,81491
2020-01-17,6.7,118369
2020-01-16,6.81,72711
2020-01-15,6.89,95941
2020-01-14,6.93,100853
2020-01-13,6.94,96188
2020-01-10,6.88,75526
2020-01-09,6.92,116890
2020-01-08,6.9,146768
2020-01-07,7.05,117687
2020-01-06,7.02,159473
2020-01-03,7.04,106739
2020-01-02,7.04,164145
2019-12-31,7.04,127711
2019-12-30,7.11,241146
2019-12-27,6.88,139979
2019-12-26,6.93,72921
2019-12-25,6.88,72198
2019-12-24,6.9,106896
2019-12-23,6.82,197786
2019-12-20,6.93,217399
2019-12-19,6.91,110317
2019-12-18,6.88,144801
2019-12-17,6.9,217881
2019-12-16,6.77,94584
2019-12-13,6.75,169655
2019-12-12,6.57,43573
2019-12-11,6.61,71547
2019-12-10,6.62,55234
2019-12-09,6.65,60306
2019-12-06,6.7,47649
2019-12-05,6.71,52238
2019-12-04,6.67,70744
2019-12-03,6.59,30167
2019-12-02,6.6,46839
2019-11-29,6.7,75215
2019-11-28,6.64,41136
2019-11-27,6.68,76826
2019-11-26,6.7,127755
2019-11-25,6.52,45884
2019-11-22,6.52,53478
2019-11-21,6.53,51006
2019-11-20,6.56,45888
2019-11-19,6.62,72528
2019-11-18,6.6,65961
2019-11-15,6.53,39971
2019-11-14,6.59,73365
2019-11-13,6.6,77212
2019-11-12,6.63,44986
2019-11-11,6.57,79259
2019-11-08,6.73,64886
2019-11-07,6.8,74003
2019-11-06,6.8,105412
2019-11-05,6.96,125061
2019-11-04,6.94,51913
2019-11-01,6.87,58485
2019-10-31,6.81,87285
2019-10-30,6.93,61431
2019-10-29,6.94,57806
2019-10-28,7.01,64390
2019-10-25,7.0,58078
2019-10-24,6.98,37465
2019-10-23,6.98,47274
2019-10-22,6.98,54477
2019-10-21,7.04,74027
2019-10-18,6.99,106165
2019-10-17,7.07,123327
2019-10-16,7.28,261261
2019-10-15,7.25,93740
2019-10-14,7.22,154370
2019-10-11,7.07,82466
2019-10-10,7.03,57041
2019-10-09,7.02,52595
2019-10-08,7.05,73332
2019-09-30,7.05,106523
2019-09-27,7.02,43269
2019-09-26,6.96,105099
2019-09-25,7.0,87477
2019-09-24,7.08,85916
2019-09-23,7.09,90558
2019-09-20,7.25,74350
2019-09-19,7.25,67122
2019-09-18,7.25,58612
2019-09-17,7.19,122732
2019-09-16,7.37,140703
2019-09-12,7.54,172220
2019-09-11,7.34,112350
2019-09-10,7.32,134332
2019-09-09,7.38,161243
2019-09-06,7.28,133648
2019-09-05,7.28,369248
2019-09-04,7.14,264111
2019-09-03,6.89,185284
2019-09-02,7.04,180654
2019-08-30,7.02,183814
2019-08-29,7.06,280293
2019-08-28,7.32,645626
2019-08-27,7.85,335559
2019-08-12,7.14,95535
2019-08-09,7.04,159125
2019-08-08,7.13,169547
2019-08-07,7.09,154360
2019-08-06,7.19,282128
2019-08-05,7.06,168290
2019-08-02,7.13,212763
2019-08-01,7.13,140687
2019-07-31,7.13,172246
2019-07-30,7.08,296112
2019-07-29,6.97,386225
2019-07-26,6.71,307568
2019-07-25,6.28,96232
2019-07-24,6.2,104284
2019-07-23,6.15,81827
2019-07-22,6.07,79183
2019-07-19,6.18,66389
2019-07-18,6.17,99066
2019-07-17,6.22,87137
2019-07-16,6.24,82890
2019-07-15,6.28,129296
2019-07-12,6.28,132999
2019-07-11,6.23,83440
2019-07-10,6.24,66974
2019-07-09,6.25,94232
2019-07-08,6.2,111537
2019-07-05,6.38,87757
2019-07-04,6.39,94362
2019-07-03,6.43,118993
2019-07-02,6.53,104241
2019-07-01,6.63,156833
2019-06-28,6.49,101491
2019-06-27,6.56,105401
2019-06-26,6.55,78649
2019-06-25,6.53,98317
2019-06-24,6.65,85499
2019-06-21,6.69,155331
2019-06-20,6.63,231265
2019-06-19,6.39,112742
2019-06-18,6.32,67249
2019-06-17,6.4,71215
2019-06-14,6.38,108160
2019-06-13,6.46,68294
2019-06-12,6.43,108848
2019-06-11,6.45,144470
2019-06-10,6.22,75669
2019-06-06,6.19,74209
2019-06-05,6.27,69057
2019-06-04,6.29,84640
2019-06-03,6.3,99653
2019-05-31,6.35,107860
